#;Time;ProblemId;Rating;Type;Av Time;Solve Time;After First;User Rating
1;2/01/2017 12:24;50754;969.4;Standard;0:39;0:13;0:01;1219.3 (+14.8)
2;2/01/2017 12:23;52409;1252.7;Standard;1:07;0:20;0:02;1204.5 (+49.2)
3;2/01/2017 12:23;166228;1058.4;Standard;1:04;0:27;0:00;1155.3 (-61.4)
4;2/01/2017 12:22;56892;1323.5;Standard;1:45;2:01;0:00;1216.7 (-38.6)
5;2/01/2017 12:19;158890;1227.8;Standard;3:15;2:02;0:00;1255.3 (-70.3)
1;2/01/2017 13:36;97093;1133.5;Standard;1:41;0:30;0:01;1306.1 (+8.7)
2;2/01/2017 13:34;57736;1381.1;Standard;1:13;0:22;0:00;1297.4 (-12.9)
3;2/01/2017 13:33;154920;1434.9;Standard;1:27;1:02;0:20;1310.3 (-11.6)
4;2/01/2017 13:32;89032;1143.3;Standard;1:20;0:44;0:20;1321.9 (+9.7)
5;2/01/2017 13:31;78290;1018.0;Standard;0:45;1:27;0:00;1312.2 (+6.0)
6;2/01/2017 13:28;47082;1119.5;Standard;1:46;0:46;0:04;1306.2 (+10.2)
7;2/01/2017 13:27;47298;1172.3;Standard;0:49;0:21;0:00;1296.0 (-28.3)
8;2/01/2017 13:27;173890;1203.2;Standard;1:04;0:18;0:08;1324.4 (+14.8)
9;2/01/2017 13:26;152832;1026.1;Standard;1:25;1:04;0:03;1309.5 (+7.6)
10;2/01/2017 13:25;64115;1093.0;Standard;1:00;0:10;0:01;1301.9 (+11.3)
11;2/01/2017 13:25;61183;1142.9;Standard;0:59;0:39;0:02;1290.6 (+15.6)
12;2/01/2017 13:24;56121;1384.5;Standard;1:33;0:30;0:05;1275.0 (+36.4)
13;2/01/2017 13:24;43207;1245.6;Standard;1:16;0:29;0:02;1238.6 (+30.8)
14;2/01/2017 13:21;43735;1211.1;Standard;1:49;1:16;0:29;1207.8 (-32.7)
15;2/01/2017 13:19;53278;1090.1;Standard;0:40;0:37;0:07;1240.6 (+21.3)
1;2/01/2017 14:35;153912;1143.5;Standard;1:33;1:05;0:10;1297.8 (+4.4)
2;2/01/2017 14:34;61879;1226.3;Standard;1:33;3:18;0:00;1293.4 (-9.3)
3;2/01/2017 14:29;64769;1365.0;Standard;1:38;0:27;0:00;1302.7 (-6.7)
4;2/01/2017 14:28;74903;1284.7;Standard;1:47;0:30;0:04;1309.4 (+7.9)
5;2/01/2017 14:27;62170;1103.1;Standard;1:29;0:55;0:06;1301.5 (+4.3)
6;2/01/2017 14:25;47790;1177.9;Standard;1:14;0:21;0:00;1297.3 (-12.2)
7;2/01/2017 14:25;174222;1192.1;Standard;1:40;0:39;0:02;1309.5 (+6.5)
8;2/01/2017 14:24;24955;1183.3;Standard;1:28;0:48;0:22;1303.0 (-13.3)
9;2/01/2017 14:23;43153;956.0;Standard;0:55;0:06;0:00;1316.3 (+2.3)
10;2/01/2017 14:23;56235;1188.0;Standard;1:03;1:08;0:07;1314.0 (+7.0)
11;2/01/2017 14:22;155079;1228.2;Standard;0:58;0:35;0:09;1306.9 (+8.7)
12;2/01/2017 14:21;158748;1103.8;Standard;0:55;0:48;0:04;1298.2 (+5.8)
13;2/01/2017 14:20;166589;1330.3;Standard;2:05;3:08;0:00;1292.4 (-10.9)
14;2/01/2017 14:16;97842;1336.3;Standard;3:00;2:45;0:03;1303.3 (+13.9)
15;2/01/2017 14:12;163956;1245.8;Standard;2:01;1:52;0:00;1289.4 (-14.9)
16;2/01/2017 14:10;101882;1116.8;Standard;0:51;0:12;0:02;1304.3 (+7.0)
17;2/01/2017 14:10;43662;1363.8;Standard;2:52;2:28;0:00;1297.3 (-11.6)
18;2/01/2017 14:07;28747;1252.2;Standard;1:31;1:14;0:37;1308.9 (+12.5)
19;2/01/2017 14:05;94683;1433.1;Standard;2:49;0:19;0:00;1296.4 (-9.7)
1;2/01/2017 15:50;59845;1145.0;Standard;0:42;0:09;0:00;1317.4 (-5.1)
2;2/01/2017 15:50;106300;1147.9;Standard;1:17;0:13;0:01;1322.6 (+1.9)
3;2/01/2017 15:50;77738;1211.5;Standard;2:14;1:14;0:56;1320.7 (+2.5)
4;2/01/2017 15:48;15298;1313.5;Standard;1:06;0:36;0:00;1318.2 (+3.5)
5;2/01/2017 15:47;30932;1225.4;Standard;1:32;0:35;0:02;1314.8 (+2.7)
6;2/01/2017 15:46;53372;973.2;Standard;1:07;0:27;0:00;1312.0 (+0.9)
7;2/01/2017 15:46;171302;1148.8;Standard;1:50;0:24;0:04;1311.1 (+2.2)
8;2/01/2017 15:45;115093;972.7;Standard;0:38;0:12;0:06;1308.9 (-7.2)
9;2/01/2017 15:45;50256;1192.5;Standard;1:16;1:05;0:05;1316.0 (+2.8)
10;2/01/2017 15:44;27694;964.8;Standard;0:41;0:23;0:06;1313.2 (+1.1)
11;2/01/2017 15:43;14424;1274.8;Standard;1:49;0:18;0:00;1312.2 (+4.1)
12;2/01/2017 15:43;54257;1030.8;Standard;1:30;0:18;0:02;1308.0 (+1.6)
13;2/01/2017 15:42;60667;1327.2;Standard;1:06;0:34;0:01;1306.4 (+5.3)
14;2/01/2017 15:42;43285;1103.6;Standard;1:19;2:03;0:02;1301.1 (+2.5)
15;2/01/2017 15:39;38951;1269.2;Standard;1:51;0:11;0:00;1298.5 (+5.0)
16;2/01/2017 15:39;60130;1343.1;Standard;1:16;0:34;0:00;1293.5 (-4.9)
17;2/01/2017 15:35;158288;1262.6;Standard;2:13;0:23;0:04;1298.4 (-6.5)
18;2/01/2017 15:35;155531;1185.6;Standard;1:46;0:50;0:20;1304.9 (+4.1)
19;2/01/2017 15:33;103540;1164.0;Standard;2:06;3:56;0:27;1300.8 (+4.0)
20;2/01/2017 15:29;143977;1143.9;Standard;1:00;0:35;0:00;1296.8 (+3.9)
21;2/01/2017 15:28;62798;1233.4;Standard;1:13;2:27;0:00;1292.9 (-8.1)
22;2/01/2017 15:25;26760;1082.9;Standard;1:06;0:52;0:20;1301.0 (+3.2)
1;9/01/2016 17:52;53722;1322.6;Standard;2:31;0:21;0:00;1407.5 (-18.5)
2;9/01/2016 17:52;59395;1372.2;Standard;1:29;1:29;0:03;1425.9 (+13.1)
3;9/01/2016 17:50;14053;1274.3;Standard;1:05;0:35;0:02;1412.8 (+10.0)
4;9/01/2016 17:49;22078;1091.2;Standard;0:49;0:20;0:01;1402.8 (+4.8)
5;9/01/2016 17:49;47894;1213.3;Standard;0:33;0:12;0:00;1398.0 (-26.0)
6;9/01/2016 17:48;77333;1333.7;Standard;2:05;1:57;0:06;1424.0 (+13.7)
7;9/01/2016 17:46;142390;1360.7;Standard;1:53;0:34;0:16;1410.3 (+16.6)
8;9/01/2016 17:46;40964;1297.5;Standard;1:01;0:10;0:01;1393.7 (+14.9)
9;9/01/2016 17:45;158635;1079.3;Standard;1:52;0:13;0:02;1378.9 (+6.4)
10;9/01/2016 17:45;73084;1249.6;Standard;0:41;0:17;0:01;1372.5 (+14.8)
11;9/01/2016 17:45;56969;1228.7;Standard;1:08;0:14;0:02;1357.7 (+15.3)
12;9/01/2016 17:44;48162;1254.0;Standard;1:45;2:08;0:00;1342.4 (-31.6)
13;9/01/2016 17:42;100437;1352.8;Standard;1:20;0:34;0:05;1374.0 (+25.6)
14;9/01/2016 17:41;91434;1033.8;Standard;1:22;0:20;0:04;1348.4 (+8.0)
15;9/01/2016 17:40;45297;1169.2;Standard;1:10;2:24;0:00;1340.5 (-43.9)
16;9/01/2016 17:38;165302;1197.7;Standard;1:19;0:25;0:09;1384.3 (+16.3)
17;9/01/2016 17:37;54859;1143.8;Standard;0:52;0:25;0:12;1368.0 (+14.8)
18;9/01/2016 17:37;148949;1090.3;Standard;1:10;0:28;0:01;1353.2 (+13.2)
19;9/01/2016 17:35;55729;1338.7;Standard;1:47;0:09;0:00;1339.9 (-41.1)
20;9/01/2016 17:35;159502;1004.5;Standard;0:54;0:16;0:02;1381.0 (+8.8)
1;9/01/2016 18:45;148921;1124.3;Standard;1:00;0:15;0:04;1345.8 (+3.5)
2;9/01/2016 18:45;98675;1220.1;Standard;1:00;0:28;0:01;1342.3 (+5.5)
3;9/01/2016 18:44;101853;1115.8;Standard;1:21;0:59;0:02;1336.7 (+3.8)
4;9/01/2016 18:43;73692;1201.6;Standard;1:29;0:56;0:36;1332.9 (+5.8)
5;9/01/2016 18:42;56263;1298.1;Standard;0:47;0:16;0:00;1327.2 (-10.1)
6;9/01/2016 18:42;63321;1229.4;Standard;1:27;0:56;0:00;1337.3 (-12.6)
7;9/01/2016 18:41;48012;1480.0;Standard;2:59;2:20;0:00;1350.0 (-6.5)
8;9/01/2016 18:38;146212;1205.3;Standard;1:48;2:17;0:00;1356.5 (-14.8)
